"","accession","Domain","Phylum","Class","Order","Family","Genus","Species"
"266","JQ464501.1.1424","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"267","JF118529.1.1360","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"268","JQ473192.1.1474","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"269","FJ959767.1.1403","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Varibaculum","D_6__uncultured bacterium"
"270","JQ456143.1.1301","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"271","JF120740.1.1372","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"272","JF240600.1.1368","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"273","FJ470591.1.1499","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"274","JQ455332.1.1389","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"275","JQ455639.1.1420","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"276","AWSB01000075.3485.5011","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__F0332","D_6__Actinobaculum sp. oral taxon 183 str. F0552"
"277","JQ473538.1.1422","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"278","JQ455721.1.1426","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"279","JF133812.1.1358","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Varibaculum","D_6__uncultured bacterium"
"280","JF125489.1.1369","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"281","GQ076809.1.1358","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Varibaculum","D_6__uncultured bacterium"
"282","JX226755.1.1520","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"283","HK555331.1.1313","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__F0332","D_6__unidentified"
"284","JQ473295.1.1412","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"285","JQ476886.1.1406","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"286","JQ455667.1.1412","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"287","KF099540.1.1354","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"288","JQ452759.1.1395","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
